Date,Alvear,Arroyo Seco,Avellaneda,Bahia Blanca,Baradero,Burzaco,Cap. del Señor,Carcaraña,Cañuelas,Chabas,Galvan,General Lagos,Gral. San Martin,I. Casanova,La Plata,Las Palmas,Lima,Navarro,Nn,Open Door,Pilar,Pto Del Guazu,Quequen,Ramallo,Ricardone,Rosario,San Jeronimo,San Justo,San Lorenzo,San Nicolas,San Pedro,Timbues,V. Constitucion
"ene 2, 2018",53,90,25,,34,8,2,5,6,8,,110,145,0,12,0,54,6,832,14,76,12,,0,135,27,25,7,289,5,0,261,7
"ene 3, 2018",275,152,8,,60,5,22,15,,37,,0,864,0,10,25,75,4,969,9,55,21,,90,465,191,35,7,468,0,8,867,41
"ene 4, 2018",375,200,17,,58,13,32,30,,68,,1,904,0,6,36,78,3,899,4,52,42,,57,610,248,6,0,684,0,3,890,52
"ene 5, 2018",291,255,5,,56,15,30,30,,84,,60,875,0,6,38,110,3,1213,9,79,45,,100,425,316,30,1,789,0,6,860,70
"ene 6, 2018",88,140,0,,0,0,0,0,,0,,70,534,0,0,2,50,1,398,0,0,0,,100,310,282,52,0,430,0,0,1020,20
"ene 8, 2018",70,431,0,,41,20,10,30,,155,,81,476,0,7,15,50,6,991,5,80,35,,0,230,103,12,10,260,0,0,350,27
"ene 9, 2018",240,360,4,,20,20,30,0,,78,,227,884,0,5,62,115,5,1065,14,75,0,,70,315,165,32,10,643,0,10,629,37
"ene 10, 2018",335,290,10,,37,24,20,0,,0,,206,999,0,7,41,176,14,929,8,80,45,,70,335,219,26,4,838,0,11,740,21
"ene 11, 2018",228,368,0,,48,25,18,10,,80,,490,1110,0,5,42,170,24,1279,10,80,0,,73,350,293,45,9,1043,15,12,590,50
"ene 12, 2018",120,347,0,,25,5,30,192,,62,,345,953,0,0,23,60,20,1087,14,65,50,,80,582,75,0,10,1027,16,6,760,58
"ene 13, 2018",146,96,0,,0,0,0,20,,0,,30,403,0,0,3,25,17,370,2,0,0,,9,580,91,25,0,1049,0,0,528,0
"ene 15, 2018",90,55,0,,25,16,14,20,,0,,55,311,0,5,17,50,18,581,16,70,30,,40,135,186,22,2,426,0,2,363,30
"ene 16, 2018",238,210,0,,30,7,22,25,,140,,55,825,0,5,30,80,1,886,6,70,0,,55,170,142,1,0,733,0,6,728,23
"ene 17, 2018",395,250,20,,30,1,3,8,,52,,38,925,0,3,59,140,12,973,22,70,35,,76,295,212,15,6,837,30,9,901,22
"ene 18, 2018",305,260,8,,29,7,8,7,,49,,40,858,0,0,31,110,8,979,10,70,0,,46,405,168,0,6,702,25,4,163,23
"ene 19, 2018",235,250,40,,29,21,26,10,,52,,20,726,0,3,39,100,10,1004,24,70,20,,18,515,279,90,5,753,20,4,450,9
"ene 20, 2018",47,115,4,,29,0,0,1,,22,,28,783,0,0,54,30,0,391,0,0,40,,0,150,20,50,0,959,0,0,563,0
"ene 22, 2018",60,320,25,,66,24,25,10,,80,,75,456,0,1,35,80,2,621,0,75,50,,38,170,59,10,10,533,0,6,252,15
"ene 23, 2018",185,330,6,,44,17,19,20,,80,,40,996,0,5,60,90,20,1071,20,70,69,,44,330,194,17,5,676,0,6,580,21
"ene 24, 2018",180,290,14,,54,17,18,15,,75,,90,913,0,1,39,120,25,1074,33,70,65,,50,350,250,6,5,828,0,8,548,34
