Date,Darsenas y Bs As,Puertos de Necochea,Puertos-B.Blanca,Rosario y Zona
"ene 2, 2018",256,378,454,1160
"ene 3, 2018",309,498,471,3500
"ene 4, 2018",344,530,369,4125
"ene 5, 2018",403,605,608,4185
"ene 6, 2018",53,154,244,3046
"ene 8, 2018",279,640,351,2225
"ene 9, 2018",370,586,479,3680
"ene 10, 2018",477,537,392,4079
"ene 11, 2018",443,637,642,4745
"ene 12, 2018",308,470,617,4617
"ene 13, 2018",47,129,241,2977
"ene 15, 2018",265,220,361,1733
"ene 16, 2018",257,390,496,3345
"ene 17, 2018",410,490,483,4056
"ene 18, 2018",291,516,463,3051
"ene 19, 2018",391,482,522,3427
"ene 20, 2018",157,164,227,2738
"ene 22, 2018",399,226,395,2078
"ene 23, 2018",431,294,766,3524
"ene 24, 2018",469,390,668,3645
"ene 25, 2018",419,605,511,4108
"ene 26, 2018",544,587,773,4379
"ene 27, 2018",124,313,103,3013
"ene 29, 2018",254,382,628,1849
"ene 30, 2018",319,549,582,2984
"ene 31, 2018",165,502,572,1954
"feb 1, 2018",259,439,583,1665
"feb 2, 2018",313,379,659,1571
"feb 3, 2018",76,0,103,1146
"feb 5, 2018",153,218,398,902
"feb 6, 2018",124,218,348,1131
"feb 7, 2018",185,218,641,840
"feb 8, 2018",118,218,384,710
"feb 9, 2018",219,218,461,983
"feb 10, 2018",63,0,114,989
"feb 14, 2018",195,218,575,1523
"feb 15, 2018",283,218,706,3912
"feb 16, 2018",237,218,769,4673
"feb 17, 2018",116,196,169,4178
"feb 19, 2018",253,324,502,2835
"feb 20, 2018",224,361,587,4085
"feb 21, 2018",171,512,725,4255
"feb 22, 2018",228,700,715,4438
"feb 23, 2018",295,780,770,5115
"feb 24, 2018",53,458,207,3961
"feb 26, 2018",242,445,457,2567
"feb 27, 2018",232,427,660,3684
"feb 28, 2018",213,370,866,3961
"mar 1, 2018",305,331,788,3249
"mar 2, 2018",266,523,384,3143
"mar 3, 2018",18,266,189,2694
"mar 5, 2018",243,358,503,2776
"mar 6, 2018",186,312,623,2929
"mar 7, 2018",250,449,569,3976
"mar 8, 2018",275,420,494,4196
"mar 9, 2018",283,399,470,4966
"mar 10, 2018",125,188,69,4056
"mar 12, 2018",329,260,274,3527
"mar 13, 2018",300,510,437,4379
"mar 14, 2018",319,615,569,5233
"mar 15, 2018",304,566,526,5180
"mar 16, 2018",295,575,512,4861
"mar 17, 2018",134,332,40,4393
"mar 19, 2018",380,588,317,3487
"mar 20, 2018",272,412,397,4752
"mar 21, 2018",355,316,427,5416
"mar 22, 2018",374,437,515,5533
"mar 23, 2018",305,527,599,5070
"mar 24, 2018",120,297,17,4334
"mar 26, 2018",290,512,264,3966
"mar 27, 2018",267,548,406,4734
"mar 28, 2018",359,728,589,4833
"mar 29, 2018",228,503,237,4447
"mar 31, 2018",165,313,53,3790
"abr 2, 2018",0,0,0,1458
"abr 3, 2018",303,418,355,1204
"abr 4, 2018",297,500,342,2944
"abr 5, 2018",351,532,436,4466
"abr 7, 2018",67,390,96,5060
"abr 9, 2018",128,362,429,1212
"abr 10, 2018",152,472,461,2277
"abr 11, 2018",155,325,432,3354
