Date,Darsenas y Bs As,Puertos de Necochea,Puertos-B.Blanca,Rosario y Zona
"ene 2, 2018",36,0,14,180
"ene 3, 2018",101,0,139,624
"ene 4, 2018",101,0,90,780
"ene 5, 2018",102,0,151,907
"ene 6, 2018",2,0,30,426
"ene 8, 2018",59,10,64,650
"ene 9, 2018",66,25,94,933
"ene 10, 2018",81,31,50,911
"ene 11, 2018",88,68,48,1202
"ene 12, 2018",72,63,59,1158
"ene 13, 2018",3,18,30,530
"ene 15, 2018",58,31,87,388
"ene 16, 2018",85,76,63,649
"ene 17, 2018",100,76,63,871
"ene 18, 2018",72,65,29,494
"ene 19, 2018",98,49,63,635
"ene 20, 2018",83,12,15,567
"ene 22, 2018",129,14,86,653
"ene 23, 2018",128,18,336,867
"ene 24, 2018",117,0,282,764
"ene 25, 2018",83,20,208,858
"ene 26, 2018",179,33,104,1018
"ene 27, 2018",19,3,14,574
"ene 29, 2018",68,19,190,454
"ene 30, 2018",95,28,191,613
"ene 31, 2018",27,18,92,216
"feb 1, 2018",94,13,97,198
"feb 2, 2018",99,11,203,191
"feb 3, 2018",54,0,8,116
"feb 5, 2018",29,9,66,210
"feb 6, 2018",35,9,80,221
"feb 7, 2018",56,9,133,200
"feb 8, 2018",35,9,98,124
"feb 9, 2018",56,9,120,164
"feb 10, 2018",53,0,2,134
"feb 14, 2018",54,9,133,562
"feb 15, 2018",121,9,134,1068
"feb 16, 2018",79,9,115,1178
"feb 17, 2018",73,0,7,1190
"feb 19, 2018",123,18,48,1143
"feb 20, 2018",131,30,130,1124
"feb 21, 2018",77,35,206,1182
"feb 22, 2018",74,63,199,1309
"feb 23, 2018",123,87,219,1699
"feb 24, 2018",3,26,28,1657
"feb 26, 2018",78,87,54,1052
"feb 27, 2018",54,61,194,1261
"feb 28, 2018",63,62,246,1351
"mar 1, 2018",111,51,189,1194
"mar 2, 2018",118,48,108,1154
"mar 3, 2018",11,49,99,1306
"mar 5, 2018",120,7,153,1593
"mar 6, 2018",82,1,160,1462
"mar 7, 2018",79,11,151,1912
"mar 8, 2018",146,7,181,2277
"mar 9, 2018",125,4,133,2881
"mar 10, 2018",101,5,43,2437
"mar 12, 2018",146,0,37,2189
"mar 13, 2018",167,17,104,2184
"mar 14, 2018",194,4,125,2890
"mar 15, 2018",186,5,103,2558
"mar 16, 2018",188,8,102,2447
"mar 17, 2018",100,0,13,2180
"mar 19, 2018",216,0,42,1903
"mar 20, 2018",149,0,44,2199
"mar 21, 2018",198,2,63,2415
"mar 22, 2018",207,8,157,2174
"mar 23, 2018",133,5,37,2106
"mar 24, 2018",70,0,0,1573
"mar 26, 2018",233,7,147,1767
"mar 27, 2018",223,5,135,1653
"mar 28, 2018",264,2,205,1393
"mar 29, 2018",170,1,57,1283
"mar 31, 2018",116,0,15,702
"abr 2, 2018",0,0,0,174
"abr 3, 2018",170,17,98,383
"abr 4, 2018",136,15,114,963
"abr 5, 2018",142,3,128,1033
"abr 7, 2018",20,1,51,1299
"abr 9, 2018",16,0,157,469
"abr 10, 2018",32,0,126,1054
"abr 11, 2018",39,1,141,1263
"abr 12, 2018",65,2,105,1192
"abr 13, 2018",60,2,103,1461
"abr 14, 2018",20,11,40,1195
"abr 16, 2018",88,42,134,1096
"abr 17, 2018",95,45,120,1392
"abr 18, 2018",81,10,96,1580
"abr 19, 2018",106,60,64,1567
"abr 20, 2018",157,7,83,1247
"abr 21, 2018",50,4,75,796
"abr 23, 2018",93,0,119,532
"abr 24, 2018",57,0,113,729
"abr 25, 2018",84,0,71,990
"abr 26, 2018",115,2,51,1043
"abr 27, 2018",66,0,79,1169
"abr 28, 2018",71,0,25,986
"may 2, 2018",19,1,52,162
"may 3, 2018",25,9,56,631
"may 4, 2018",42,1,54,775
"may 5, 2018",2,1,37,452
"may 7, 2018",38,0,55,488
"may 8, 2018",41,0,41,634
"may 9, 2018",41,0,43,640
"may 10, 2018",35,0,36,743
"may 11, 2018",41,0,42,676
"may 12, 2018",13,0,40,384
"may 14, 2018",54,0,76,531
"may 15, 2018",109,0,66,785
"may 16, 2018",101,1,58,1015
"may 17, 2018",90,8,36,1079
