Date,Darsenas y Bs As,Puertos de Necochea,Puertos-B.Blanca,Rosario y Zona
"ene 2, 2018",0,0,52,205
"ene 3, 2018",8,7,27,1142
"ene 4, 2018",6,9,21,1548
"ene 5, 2018",12,30,71,1520
"ene 6, 2018",0,14,3,1399
"ene 8, 2018",5,20,19,706
"ene 9, 2018",1,29,72,1249
"ene 10, 2018",0,32,36,1409
"ene 11, 2018",0,14,42,1592
"ene 12, 2018",0,14,9,1674
"ene 13, 2018",0,0,1,1000
"ene 15, 2018",0,0,25,450
"ene 16, 2018",1,0,26,1045
"ene 17, 2018",0,24,33,1232
"ene 18, 2018",0,101,31,1174
"ene 19, 2018",0,51,15,1270
"ene 20, 2018",0,8,0,813
"ene 22, 2018",3,24,67,706
"ene 23, 2018",1,38,149,1075
"ene 24, 2018",2,56,0,1327
"ene 25, 2018",7,96,0,1515
"ene 26, 2018",2,154,0,1589
"ene 27, 2018",0,145,6,1210
"ene 29, 2018",0,37,13,495
"ene 30, 2018",3,28,15,918
"ene 31, 2018",1,1,0,592
"feb 1, 2018",3,12,0,438
"feb 2, 2018",0,0,0,346
"feb 3, 2018",4,0,0,330
"feb 5, 2018",3,0,20,233
"feb 6, 2018",4,0,25,258
"feb 7, 2018",4,0,33,196
"feb 8, 2018",0,0,14,161
"feb 9, 2018",10,0,20,163
"feb 10, 2018",0,0,15,191
"feb 14, 2018",0,0,25,335
"feb 15, 2018",2,0,35,1185
"feb 16, 2018",1,0,78,1630
"feb 17, 2018",0,0,45,1641
"feb 19, 2018",0,0,4,786
"feb 20, 2018",0,0,38,1462
"feb 21, 2018",0,0,40,1309
"feb 22, 2018",1,0,29,1521
"feb 23, 2018",0,0,18,1730
"feb 24, 2018",0,0,4,1060
"feb 26, 2018",0,0,6,671
"feb 27, 2018",0,0,6,1079
"feb 28, 2018",0,0,0,1144
"mar 1, 2018",0,0,40,1094
"mar 2, 2018",0,0,26,1165
"mar 3, 2018",0,0,12,835
"mar 5, 2018",3,0,0,627
"mar 6, 2018",0,0,11,728
"mar 7, 2018",0,0,11,793
"mar 8, 2018",0,0,24,863
"mar 9, 2018",1,0,6,970
"mar 10, 2018",0,0,6,910
"mar 12, 2018",1,0,4,662
"mar 13, 2018",1,0,3,1350
"mar 14, 2018",0,0,3,1283
"mar 15, 2018",0,0,3,1280
"mar 16, 2018",0,0,5,1429
"mar 17, 2018",0,0,0,1790
"mar 19, 2018",7,0,0,1058
"mar 20, 2018",4,0,3,1776
"mar 21, 2018",0,0,3,2357
"mar 22, 2018",10,0,3,2771
"mar 23, 2018",9,0,9,2168
"mar 24, 2018",0,0,0,1892
"mar 26, 2018",12,0,3,1774
"mar 27, 2018",8,0,3,2554
"mar 28, 2018",20,0,7,2859
"mar 29, 2018",26,0,10,2812
"mar 31, 2018",31,0,0,2909
"abr 2, 2018",0,0,0,1255
"abr 3, 2018",41,0,1,652
"abr 4, 2018",46,0,4,1642
"abr 5, 2018",85,10,8,3025
"abr 7, 2018",30,7,0,3496
"abr 9, 2018",7,12,29,580
"abr 10, 2018",28,16,8,999
"abr 11, 2018",21,13,21,1809
"abr 12, 2018",50,12,8,2564
"abr 13, 2018",78,9,40,3625
"abr 14, 2018",121,15,56,4159
"abr 16, 2018",216,219,100,3106
"abr 17, 2018",230,144,117,2985
"abr 18, 2018",115,169,149,3708
"abr 19, 2018",166,79,213,3832
"abr 20, 2018",145,50,147,3210
"abr 21, 2018",23,25,106,3418
"abr 23, 2018",27,153,129,1299
"abr 24, 2018",41,137,107,1692
"abr 25, 2018",44,98,80,942
"abr 26, 2018",57,73,74,1038
"abr 27, 2018",61,69,79,783
"abr 28, 2018",72,32,33,1293
"may 2, 2018",48,123,100,463
"may 3, 2018",61,96,54,716
"may 4, 2018",43,91,102,971
"may 5, 2018",50,37,20,979
"may 7, 2018",30,131,43,568
"may 8, 2018",31,87,30,750
"may 9, 2018",34,77,39,780
"may 10, 2018",33,37,80,585
"may 11, 2018",12,45,67,498
"may 12, 2018",10,24,9,397
"may 14, 2018",14,156,36,837
"may 15, 2018",17,76,61,1131
"may 16, 2018",27,95,120,1927
"may 17, 2018",78,179,127,2521
"may 18, 2018",87,87,145,2802
"may 19, 2018",113,40,22,2902
"may 21, 2018",123,25,103,2099
"may 22, 2018",115,118,87,2941
"may 23, 2018",117,129,166,3826
"may 24, 2018",135,281,276,3311
"may 25, 2018",0,0,74,2101
"may 26, 2018",81,620,202,2330
"may 28, 2018",116,688,148,1377
"may 29, 2018",55,502,129,2049
"may 30, 2018",80,238,96,1845
"may 31, 2018",44,227,89,1877
"jun 1, 2018",19,267,92,1709
"jun 2, 2018",3,137,52,1395
"jun 4, 2018",33,173,80,742
"jun 5, 2018",14,182,126,1530
"jun 6, 2018",41,199,127,1775
"jun 7, 2018",23,157,100,2194
"jun 8, 2018",49,200,72,1841
"jun 9, 2018",31,122,13,1495
"jun 11, 2018",37,244,31,838
"jun 12, 2018",18,258,42,1279
"jun 13, 2018",8,224,36,1369
"jun 14, 2018",6,144,49,1187
"jun 15, 2018",18,204,15,749
"jun 16, 2018",2,125,0,1397
"jun 18, 2018",0,203,15,700
"jun 19, 2018",15,261,40,1866
"jun 20, 2018",2,0,0,2066
"jun 21, 2018",2,365,40,1640
"jun 22, 2018",0,257,31,1776
"jun 23, 2018",0,169,0,1723
"jun 25, 2018",0,0,0,70
"jun 26, 2018",2,151,0,974
"jun 27, 2018",0,256,0,1567
"jun 28, 2018",5,263,0,1378
"jun 29, 2018",11,279,0,1732
"jun 30, 2018",0,0,0,1056
"jul 2, 2018",0,123,12,625
"jul 3, 2018",0,104,15,1211
"jul 5, 2018",3,142,26,1907
"jul 6, 2018",6,127,13,1858
"jul 7, 2018",0,57,0,1330
"jul 10, 2018",0,51,18,479
"jul 11, 2018",0,89,25,1153
"jul 12, 2018",3,104,22,1549
"jul 13, 2018",3,152,20,1542
"jul 14, 2018",0,52,0,1152
"jul 16, 2018",0,13,35,729
"jul 17, 2018",4,76,58,1214
"jul 18, 2018",0,31,60,1383
"jul 19, 2018",6,58,63,1437
"jul 20, 2018",2,61,60,1454
"jul 21, 2018",0,0,3,1104
"jul 23, 2018",0,25,25,562
"jul 24, 2018",2,74,123,954
"jul 25, 2018",0,54,28,947
"jul 26, 2018",6,43,0,928
"jul 27, 2018",0,63,0,1028
"jul 30, 2018",0,63,22,406
"jul 31, 2018",2,63,35,1108
"ago 1, 2018",0,35,42,1105
"ago 2, 2018",3,54,1,1218
"ago 3, 2018",0,48,1,1468
"ago 4, 2018",0,36,1,1397
"ago 6, 2018",0,42,1,682
"ago 7, 2018",0,84,5,1023
"ago 8, 2018",0,62,5,1020
"ago 9, 2018",0,50,5,872
"ago 10, 2018",0,24,0,1110
"ago 11, 2018",0,11,0,861
"ago 13, 2018",0,19,38,690
"ago 14, 2018",0,18,35,1000
"ago 15, 2018",0,16,27,1149
"ago 16, 2018",1,29,34,1131
"ago 17, 2018",0,30,39,1127
"ago 18, 2018",0,9,0,883
"ago 21, 2018",0,28,28,463
"ago 22, 2018",0,50,69,1004
"ago 23, 2018",3,29,41,1051
"ago 24, 2018",0,16,12,1323
"ago 27, 2018",0,29,0,682
"ago 28, 2018",3,46,9,992
"ago 29, 2018",0,42,41,1026
"ago 30, 2018",14,30,28,1094
"ago 31, 2018",8,28,51,975
"sep 1, 2018",0,5,0,288
"sep 3, 2018",15,22,28,434
"sep 4, 2018",13,23,28,214
"sep 5, 2018",8,38,26,751
"sep 6, 2018",20,30,16,1050
"sep 7, 2018",23,32,23,1202
"sep 8, 2018",7,10,1,854
"sep 10, 2018",35,14,3,735
"sep 11, 2018",20,10,21,1167
"sep 12, 2018",12,22,42,1370
"sep 13, 2018",24,35,38,1386
"sep 14, 2018",25,27,51,1294
"sep 15, 2018",0,10,0,1102
"sep 17, 2018",45,91,22,739
"sep 18, 2018",42,91,22,1255
"sep 20, 2018",60,68,2,1232
"sep 21, 2018",95,97,55,1241
"sep 24, 2018",96,23,38,756
"sep 25, 2018",0,0,0,10
"sep 26, 2018",50,128,24,666
"sep 27, 2018",19,188,87,1253
"sep 28, 2018",22,145,22,1295
"sep 29, 2018",0,4,7,807
"oct 1, 2018",31,79,42,733
"oct 2, 2018",64,134,63,1088
"oct 3, 2018",37,122,61,1305
"oct 4, 2018",43,150,58,1368
"oct 5, 2018",63,189,75,1321
"oct 6, 2018",25,27,22,1217
"oct 8, 2018",45,58,63,708
"oct 9, 2018",57,77,77,1285
"oct 10, 2018",69,105,158,1117
"oct 11, 2018",64,123,156,1086
"oct 12, 2018",60,140,130,1140
"oct 13, 2018",25,0,8,897
"oct 16, 2018",31,71,74,449
"oct 17, 2018",38,63,83,1385
"oct 18, 2018",23,77,106,1584
"oct 19, 2018",14,110,100,1637
"oct 20, 2018",7,16,28,1097
"oct 22, 2018",13,22,21,625
"oct 23, 2018",25,89,78,1050
"oct 24, 2018",4,88,4,868
"oct 25, 2018",6,90,0,242
"oct 26, 2018",15,100,3,1370
"oct 27, 2018",8,0,52,861
"oct 29, 2018",4,74,134,444
"oct 30, 2018",6,126,82,1147
"oct 31, 2018",11,122,95,1166
"nov 1, 2018",15,131,91,1257
"nov 2, 2018",19,144,80,1281
"nov 3, 2018",6,0,11,632
"nov 5, 2018",30,34,135,674
"nov 6, 2018",34,28,165,925
"nov 7, 2018",25,17,173,1305
"nov 8, 2018",25,6,111,1230
"nov 9, 2018",17,49,44,1156
"nov 12, 2018",7,111,146,624
"nov 14, 2018",15,194,149,522
"nov 15, 2018",16,250,35,1120
"nov 16, 2018",5,156,152,1382
"nov 17, 2018",0,9,18,741
"nov 20, 2018",20,40,163,666
"nov 21, 2018",2,30,154,1051
"nov 22, 2018",7,171,169,1427
"nov 23, 2018",0,175,167,1363
"nov 24, 2018",0,0,120,962
"nov 26, 2018",0,147,65,601
"nov 27, 2018",2,84,60,1034
"nov 28, 2018",0,124,78,1097
"nov 29, 2018",0,170,12,1140
"nov 30, 2018",0,126,12,1374
"dic 1, 2018",0,25,0,801
"dic 4, 2018",0,58,49,855
"dic 6, 2018",14,29,225,255
"dic 7, 2018",0,44,54,1032
"dic 10, 2018",0,21,73,349
"dic 11, 2018",0,12,9,823
"dic 12, 2018",0,16,203,918
"dic 13, 2018",5,14,0,1261
"dic 14, 2018",0,6,152,972
"dic 15, 2018",0,6,35,809
"dic 17, 2018",0,13,190,548
"dic 18, 2018",0,19,77,740
"dic 19, 2018",5,0,136,792
"dic 20, 2018",0,0,133,1034
"dic 21, 2018",0,1,165,987
"dic 22, 2018",0,0,112,1018
"dic 26, 2018",0,0,67,174
"dic 27, 2018",0,0,86,924
"dic 28, 2018",0,0,121,1008
"dic 29, 2018",0,0,104,768
"dic 31, 2018",0,0,10,38
"ene 3, 2019",0,0,76,446
"ene 4, 2019",0,0,12,541
"ene 5, 2019",0,0,13,608
"ene 7, 2019",0,0,27,399
"ene 8, 2019",0,0,16,478
"ene 10, 2019",0,0,21,589
"ene 11, 2019",0,27,17,557
"ene 12, 2019",0,7,3,338
"ene 14, 2019",0,0,6,645
"ene 15, 2019",0,0,6,645
"ene 16, 2019",0,31,44,522
"ene 17, 2019",1,126,45,726
"ene 18, 2019",0,3,38,627
"ene 19, 2019",0,0,6,243
"ene 21, 2019",0,0,7,412
"ene 22, 2019",0,0,8,881
"ene 23, 2019",0,0,3,935
"ene 24, 2019",0,0,0,1018
"ene 25, 2019",0,0,6,740
"ene 26, 2019",0,0,0,480
"ene 28, 2019",0,0,0,233
"ene 29, 2019",0,0,0,575
"ene 30, 2019",0,0,0,774
"ene 31, 2019",0,0,69,663
"feb 1, 2019",0,0,0,706
"feb 2, 2019",0,0,0,430
"feb 4, 2019",1,0,0,244
"feb 5, 2019",4,0,0,614
"feb 6, 2019",0,0,0,805
"feb 7, 2019",0,0,4,980
"feb 8, 2019",0,0,26,1027
"feb 9, 2019",0,0,0,874
"feb 11, 2019",0,0,38,449
"feb 12, 2019",0,0,30,651
"feb 13, 2019",0,0,33,823
"feb 14, 2019",0,0,24,945
"feb 15, 2019",0,0,18,996
"feb 16, 2019",0,0,0,695
"feb 18, 2019",0,0,7,465
"feb 19, 2019",0,0,7,941
"feb 20, 2019",0,0,7,1023
"feb 21, 2019",10,0,62,1081
"feb 22, 2019",0,0,40,1166
"feb 23, 2019",0,0,0,632
"feb 25, 2019",0,0,0,538
"feb 26, 2019",6,0,18,752
"feb 27, 2019",0,0,11,831
"feb 28, 2019",0,0,18,923
"mar 1, 2019",0,0,14,861
"mar 6, 2019",0,0,0,228
"mar 7, 2019",0,0,6,577
"mar 8, 2019",0,0,6,881
"mar 9, 2019",0,0,0,664
"mar 10, 2019",0,0,0,144
"mar 11, 2019",0,0,7,557
"mar 12, 2019",0,0,7,845
"mar 13, 2019",0,0,7,802
"mar 14, 2019",0,0,7,976
"mar 15, 2019",0,0,0,1096
"mar 16, 2019",0,0,0,1222
"mar 18, 2019",0,0,7,505
"mar 19, 2019",0,1,9,1080
"mar 20, 2019",0,2,9,944
"mar 21, 2019",0,0,7,891
"mar 22, 2019",0,4,0,1421
"mar 23, 2019",0,1,0,1812
"mar 25, 2019",0,3,16,1964
"mar 26, 2019",0,3,4,2098
"mar 27, 2019",4,2,11,2546
"mar 28, 2019",20,0,22,2513
"mar 29, 2019",8,0,27,2199
"mar 30, 2019",2,1,0,2238
"abr 1, 2019",36,2,25,1962
"abr 2, 2019",4,0,0,1594
"abr 3, 2019",114,8,22,1940
"abr 4, 2019",142,9,18,3688
"abr 5, 2019",64,3,27,3358
"abr 6, 2019",171,5,33,3710
"abr 8, 2019",273,20,76,4122
"abr 9, 2019",280,26,70,4012
"abr 10, 2019",323,20,82,4218
"abr 11, 2019",325,12,83,3851
"abr 12, 2019",200,9,51,3657
"abr 13, 2019",195,0,39,3611
"abr 15, 2019",173,0,107,4019
"abr 16, 2019",202,38,115,2941
"abr 17, 2019",271,64,86,2575
"abr 18, 2019",292,54,62,3334
"abr 19, 2019",54,0,0,3612
"abr 20, 2019",410,32,17,2632
"abr 22, 2019",235,157,202,2576
"abr 23, 2019",205,177,228,2937
"abr 24, 2019",213,181,240,2714
"abr 25, 2019",134,213,296,2271
"abr 26, 2019",121,260,143,1974
"abr 27, 2019",149,96,176,1618
"abr 29, 2019",55,144,175,585
"abr 30, 2019",15,67,0,17
"may 2, 2019",280,500,320,2584
"may 3, 2019",475,273,371,3082
"may 4, 2019",413,111,351,3092
"may 5, 2019",0,0,0,1900
"may 6, 2019",235,222,353,1759
"may 7, 2019",107,212,398,2094
"may 8, 2019",160,297,351,2109
"may 9, 2019",163,241,332,2129
"may 10, 2019",133,145,197,1684
"may 11, 2019",93,76,168,1575
"may 13, 2019",145,158,209,2076
"may 14, 2019",340,248,262,3400
"may 15, 2019",263,288,457,3987
"may 16, 2019",362,403,353,3526
"may 17, 2019",341,279,277,3490
"may 18, 2019",72,45,264,2959
"may 20, 2019",189,156,404,1724
"may 21, 2019",197,165,389,2402
"may 22, 2019",154,173,276,1950
"may 23, 2019",173,211,271,1689
"may 24, 2019",167,339,308,2303
"may 27, 2019",208,707,223,1506
"may 28, 2019",138,350,268,2515
"may 29, 2019",50,0,0,15
"may 30, 2019",223,427,132,1838
"may 31, 2019",178,200,171,2683
"jun 1, 2019",96,101,112,1771
"jun 3, 2019",110,253,47,1132
"jun 4, 2019",133,244,119,2254
"jun 5, 2019",168,329,204,2258
"jun 6, 2019",156,229,262,2486
"jun 7, 2019",134,246,194,2433
"jun 8, 2019",43,77,178,2411
"jun 10, 2019",87,290,269,1824
"jun 11, 2019",87,357,311,2760
"jun 12, 2019",98,294,293,3001
"jun 13, 2019",128,309,245,2845
"jun 14, 2019",99,287,170,2640
"jun 15, 2019",79,60,160,1684
"jun 18, 2019",47,28,144,593
"jun 19, 2019",96,32,72,1499
"jun 21, 2019",125,31,271,1556
"jun 22, 2019",59,46,178,1799
"jun 24, 2019",69,40,164,1618
"jun 25, 2019",77,66,154,2173
"jun 26, 2019",63,37,136,2101
"jun 27, 2019",41,68,203,2166
"jun 28, 2019",66,85,256,2348
"jun 29, 2019",4,23,20,1676
"jul 1, 2019",41,30,153,1104
"jul 2, 2019",35,54,170,2020
"jul 3, 2019",81,44,154,2418
"jul 4, 2019",53,59,181,2570
"jul 5, 2019",57,37,298,2852
"jul 6, 2019",60,7,128,2238
"jul 8, 2019",65,21,313,1032
"jul 10, 2019",53,28,138,717
"jul 11, 2019",131,34,208,1761
"jul 12, 2019",85,26,126,2258
"jul 13, 2019",30,20,0,1899
"jul 15, 2019",43,60,219,1166
"jul 16, 2019",89,86,255,1955
"jul 17, 2019",88,76,255,1892
"jul 18, 2019",102,68,249,2201
"jul 19, 2019",91,89,259,2570
"jul 20, 2019",22,19,164,1917
"jul 22, 2019",52,108,45,846
"jul 23, 2019",63,133,46,1913
"jul 24, 2019",100,135,185,1873
"jul 25, 2019",120,121,211,2341
"jul 26, 2019",26,118,177,1622
"jul 27, 2019",35,108,135,1422
"jul 29, 2019",55,100,30,854
"jul 30, 2019",144,114,49,2001
"jul 31, 2019",65,157,36,2496
"ago 1, 2019",88,170,35,2819
"ago 2, 2019",100,180,27,2289
"ago 3, 2019",63,46,0,1634
"ago 5, 2019",112,13,33,1084
"ago 6, 2019",113,15,41,2014
"ago 7, 2019",215,67,158,2051
"ago 8, 2019",141,59,162,2224
"ago 9, 2019",131,0,167,2531
"ago 10, 2019",31,3,165,1971
"ago 12, 2019",41,119,133,1095
"ago 13, 2019",30,131,172,1898
"ago 14, 2019",41,137,274,1915
"ago 15, 2019",22,109,205,2309
"ago 16, 2019",59,135,288,2709
"ago 17, 2019",3,0,448,1758
"ago 19, 2019",40,0,188,1191
"ago 20, 2019",43,101,199,1238
"ago 21, 2019",80,129,395,2709
"ago 22, 2019",86,176,383,2874
"ago 23, 2019",68,155,445,2807
"ago 24, 2019",14,0,407,2233
"ago 26, 2019",72,112,329,1021
"ago 27, 2019",58,177,475,2146
"ago 28, 2019",55,210,413,2469
"ago 29, 2019",80,258,409,2410
"ago 30, 2019",70,219,467,2504
"ago 31, 2019",73,84,266,2162
"sep 2, 2019",92,106,281,1064
"sep 3, 2019",21,162,395,1997
"sep 4, 2019",34,124,427,1979
"sep 5, 2019",104,108,419,2094
"sep 6, 2019",207,119,443,2314
"sep 7, 2019",139,28,56,1460
"sep 9, 2019",113,78,374,976
"sep 10, 2019",120,217,375,1541
"sep 11, 2019",132,179,332,1452
"sep 12, 2019",155,173,293,1771
"sep 13, 2019",195,129,391,2196
"sep 14, 2019",90,9,332,1778
"sep 16, 2019",101,176,162,932
