Date,Darsenas y Bs As,Puertos de Necochea,Puertos-B.Blanca,Rosario y Zona
"ene 2, 2018",220,158,247,545
"ene 3, 2018",194,288,205,1373
"ene 4, 2018",215,325,179,1468
"ene 5, 2018",273,379,197,1328
"ene 6, 2018",51,60,201,865
"ene 8, 2018",213,366,186,656
"ene 9, 2018",291,327,151,1275
"ene 10, 2018",387,310,140,1499
"ene 11, 2018",323,314,271,1633
"ene 12, 2018",224,134,265,1480
"ene 13, 2018",44,13,50,1098
"ene 15, 2018",207,10,129,686
"ene 16, 2018",171,85,174,1477
"ene 17, 2018",310,175,142,1651
"ene 18, 2018",219,227,181,990
"ene 19, 2018",293,233,190,1036
"ene 20, 2018",74,96,81,1153
"ene 22, 2018",267,121,154,451
"ene 23, 2018",302,171,84,1203
"ene 24, 2018",350,243,161,1140
"ene 25, 2018",329,349,119,1342
"ene 26, 2018",363,283,439,1396
"ene 27, 2018",105,119,65,925
"ene 29, 2018",186,132,228,695
"ene 30, 2018",221,200,198,1169
"ene 31, 2018",137,173,308,915
"feb 1, 2018",162,214,354,838
"feb 2, 2018",214,189,302,848
"feb 3, 2018",18,0,67,611
"feb 5, 2018",121,44,158,390
"feb 6, 2018",83,44,110,536
"feb 7, 2018",125,44,211,354
"feb 8, 2018",83,44,135,336
"feb 9, 2018",153,44,161,454
"feb 10, 2018",10,0,48,520
"feb 14, 2018",141,44,289,389
"feb 15, 2018",160,44,342,1260
"feb 16, 2018",157,44,422,1469
"feb 17, 2018",43,32,101,1079
"feb 19, 2018",130,43,269,737
"feb 20, 2018",93,120,279,1220
"feb 21, 2018",94,152,330,1568
"feb 22, 2018",153,236,323,1389
"feb 23, 2018",172,233,345,1436
"feb 24, 2018",50,97,20,1106
"feb 26, 2018",164,133,214,734
"feb 27, 2018",178,144,206,1182
"feb 28, 2018",150,115,267,1319
"mar 1, 2018",194,114,290,792
"mar 2, 2018",148,96,110,720
"mar 3, 2018",7,32,23,466
"mar 5, 2018",120,93,262,386
"mar 6, 2018",104,145,283,609
"mar 7, 2018",171,202,266,1118
"mar 8, 2018",129,212,162,876
"mar 9, 2018",157,215,200,909
"mar 10, 2018",24,29,11,659
"mar 12, 2018",182,84,143,468
"mar 13, 2018",132,169,130,666
"mar 14, 2018",125,188,293,786
"mar 15, 2018",118,159,263,1014
"mar 16, 2018",107,150,285,774
"mar 17, 2018",34,14,8,334
"mar 19, 2018",157,99,171,268
"mar 20, 2018",119,93,176,595
"mar 21, 2018",157,108,209,558
"mar 22, 2018",157,110,201,441
"mar 23, 2018",163,99,241,666
"mar 24, 2018",50,7,0,830
"mar 26, 2018",45,54,17,307
"mar 27, 2018",36,99,51,418
"mar 28, 2018",75,94,255,472
"mar 29, 2018",32,52,16,268
"mar 31, 2018",18,4,0,145
"abr 2, 2018",0,0,0,29
"abr 3, 2018",92,41,168,79
"abr 4, 2018",115,75,120,213
"abr 5, 2018",124,96,209,277
"abr 7, 2018",17,38,8,233
"abr 9, 2018",105,66,204,78
"abr 10, 2018",92,122,304,140
"abr 11, 2018",95,48,229,191
"abr 12, 2018",63,44,142,198
"abr 13, 2018",71,40,156,203
"abr 14, 2018",2,4,9,90
"abr 16, 2018",52,49,111,91
"abr 17, 2018",70,122,126,186
"abr 18, 2018",87,95,144,182
"abr 19, 2018",109,119,154,211
"abr 20, 2018",84,120,93,117
"abr 21, 2018",40,12,11,104
"abr 23, 2018",139,26,86,90
"abr 24, 2018",97,74,149,125
"abr 25, 2018",78,89,93,274
"abr 26, 2018",117,38,116,239
"abr 27, 2018",152,34,108,216
"abr 28, 2018",8,4,20,149
"may 2, 2018",94,55,89,55
"may 3, 2018",64,107,181,86
"may 4, 2018",70,123,90,169
"may 5, 2018",0,8,20,150
"may 7, 2018",95,64,146,130
"may 8, 2018",50,126,109,178
"may 9, 2018",55,85,86,157
"may 10, 2018",46,94,118,234
"may 11, 2018",65,94,130,245
"may 12, 2018",2,13,32,120
"may 14, 2018",66,67,159,156
"may 15, 2018",82,105,226,264
"may 16, 2018",78,120,251,274
"may 17, 2018",88,102,170,377
"may 18, 2018",97,73,155,316
"may 19, 2018",29,31,27,221
"may 21, 2018",126,52,136,241
"may 22, 2018",69,84,186,320
"may 23, 2018",72,86,210,304
"may 24, 2018",69,77,169,440
"may 25, 2018",0,0,32,190
"may 26, 2018",15,4,26,246
"may 28, 2018",81,26,136,181
"may 29, 2018",99,30,131,282
"may 30, 2018",116,34,202,475
"may 31, 2018",91,47,282,397
"jun 1, 2018",111,40,281,267
"jun 2, 2018",13,24,0,110
"jun 4, 2018",119,19,101,144
"jun 5, 2018",88,20,247,267
"jun 6, 2018",62,5,245,257
"jun 7, 2018",113,37,181,229
"jun 8, 2018",105,13,195,210
"jun 9, 2018",20,0,0,60
"jun 11, 2018",154,0,116,99
"jun 12, 2018",106,14,147,139
"jun 13, 2018",91,18,140,169
"jun 14, 2018",34,3,113,172
"jun 15, 2018",29,11,68,168
"jun 16, 2018",19,2,2,179
"jun 18, 2018",89,25,88,167
"jun 19, 2018",91,43,279,286
"jun 20, 2018",0,0,0,270
"jun 21, 2018",108,48,318,163
"jun 22, 2018",100,31,264,230
"jun 23, 2018",7,3,177,194
"jun 25, 2018",2,0,0,2
"jun 26, 2018",53,8,175,95
"jun 27, 2018",80,30,188,77
"jun 28, 2018",132,76,293,159
"jun 29, 2018",89,54,340,230
"jun 30, 2018",0,0,52,161
"jul 2, 2018",109,37,102,145
"jul 3, 2018",71,27,123,199
"jul 5, 2018",96,38,242,185
"jul 6, 2018",74,47,216,180
"jul 7, 2018",9,5,83,91
"jul 10, 2018",98,20,87,170
"jul 11, 2018",95,77,192,255
"jul 12, 2018",88,68,173,387
"jul 13, 2018",126,87,193,233
"jul 14, 2018",7,37,51,129
"jul 16, 2018",147,18,151,147
"jul 17, 2018",127,63,215,212
"jul 18, 2018",150,28,131,198
"jul 19, 2018",83,9,82,171
"jul 20, 2018",75,18,105,157
"jul 21, 2018",1,0,29,90
"jul 23, 2018",56,4,51,104
"jul 24, 2018",64,29,112,224
"jul 25, 2018",109,25,126,708
"jul 26, 2018",91,28,133,703
"jul 27, 2018",80,28,154,194
"jul 30, 2018",101,28,97,112
"jul 31, 2018",83,28,135,201
"ago 1, 2018",83,25,146,188
"ago 2, 2018",115,21,200,198
"ago 3, 2018",104,37,227,278
"ago 4, 2018",5,16,23,89
"ago 6, 2018",119,44,105,99
"ago 7, 2018",88,86,144,146
"ago 8, 2018",80,65,134,83
"ago 9, 2018",97,67,81,204
"ago 10, 2018",103,69,104,150
"ago 11, 2018",19,1,26,131
"ago 13, 2018",151,32,72,106
"ago 14, 2018",104,85,77,141
"ago 15, 2018",128,58,68,176
"ago 16, 2018",99,68,130,170
"ago 17, 2018",107,86,103,257
"ago 18, 2018",12,4,3,143
"ago 21, 2018",104,9,116,116
"ago 22, 2018",83,56,100,245
"ago 23, 2018",87,71,78,317
"ago 24, 2018",106,81,118,356
"ago 27, 2018",128,29,72,266
"ago 28, 2018",106,117,89,396
"ago 29, 2018",136,84,72,511
"ago 30, 2018",129,52,92,409
"ago 31, 2018",76,56,118,310
"sep 1, 2018",4,9,14,99
"sep 3, 2018",88,37,92,102
"sep 4, 2018",76,94,109,86
"sep 5, 2018",109,100,112,218
"sep 6, 2018",104,88,126,190
"sep 7, 2018",85,69,117,265
"sep 8, 2018",0,11,5,136
"sep 10, 2018",75,50,67,164
"sep 11, 2018",70,107,17,218
"sep 12, 2018",77,87,19,219
"sep 13, 2018",67,81,17,260
"sep 14, 2018",66,70,61,273
"sep 15, 2018",14,9,3,156
"sep 17, 2018",99,49,84,125
"sep 18, 2018",56,64,100,161
"sep 20, 2018",77,42,35,160
"sep 21, 2018",57,56,122,194
"sep 24, 2018",73,94,52,130
"sep 25, 2018",15,0,0,18
"sep 26, 2018",63,28,75,130
"sep 27, 2018",99,35,92,171
"sep 28, 2018",113,24,41,138
"sep 29, 2018",1,48,22,38
"oct 1, 2018",75,19,0,69
"oct 2, 2018",57,6,30,49
"oct 3, 2018",76,17,30,79
"oct 4, 2018",87,24,63,77
"oct 5, 2018",88,19,31,91
"oct 6, 2018",5,3,5,48
"oct 8, 2018",120,5,28,77
"oct 9, 2018",104,32,51,99
"oct 10, 2018",62,30,25,87
"oct 11, 2018",118,22,38,81
"oct 12, 2018",103,17,79,61
"oct 13, 2018",2,0,38,30
"oct 16, 2018",134,3,7,57
"oct 17, 2018",105,22,14,116
"oct 18, 2018",131,17,12,113
"oct 19, 2018",100,21,3,100
"oct 20, 2018",4,0,0,62
"oct 22, 2018",97,2,0,48
"oct 23, 2018",92,2,0,71
"oct 24, 2018",69,5,0,34
"oct 25, 2018",65,3,2,25
