fecha,grano,sector,campaña,compras_semanales,total_comprado_acumulado,precio_hecho,a_fijar,fijado,saldo_a_fijar
06/02/2019,trigo,Exportador,19/20,539400,539400,,20800,3500,
13/02/2019,trigo,Exportador,19/20,21600,561000,,23600,3500,
20/02/2019,trigo,Exportador,19/20,3800,564800,,24400,3500,
27/02/2019,trigo,Exportador,19/20,1100,565900,,25300,3500,
06/03/2019,trigo,Exportador,19/20,300,566200,,25600,3500,
13/03/2019,trigo,Exportador,19/20,1100,567300,,25900,3500,
20/03/2019,maíz,Exportador,19/20,13000,34800,,14400,0,
20/03/2019,trigo,Exportador,19/20,2800,570100,,27900,3500,
27/03/2019,cebada cervecera,Exportador,19/20,0,0,,0,0,
27/03/2019,cebada forrajera,Exportador,19/20,0,0,,0,0,
27/03/2019,maíz,Exportador,19/20,1100,35900,,14900,0,
27/03/2019,soja,Industria,19/20,13200,13200,,20100,1200,
27/03/2019,trigo,Exportador,19/20,3800,573900,,31200,3500,
03/04/2019,cebada cervecera,Exportador,19/20,0,0,0,0,0,0
03/04/2019,cebada forrajera,Exportador,19/20,0,0,0,0,0,0
03/04/2019,maíz,Exportador,19/20,4300,40200,23300,16900,1000,15900
03/04/2019,soja,Industria,19/20,16800,40900,4900,36000,1700,34300
03/04/2019,trigo,Exportador,19/20,23400,597300,560900,36400,3500,32900
10/04/2019,cebada cervecera,Exportador,19/20,0,0,0,0,0,0
10/04/2019,cebada forrajera,Exportador,19/20,1000,1000,0,1000,0,1000
10/04/2019,maíz,Exportador,19/20,185600,225800,199800,26000,2200,23800
10/04/2019,soja,Exportador,19/20,62200,63000,63000,0,0,0
10/04/2019,soja,Industria,19/20,185200,226100,143100,83000,1700,81300
10/04/2019,trigo,Exportador,19/20,135800,733100,652400,80700,4000,76700
17/04/2019,cebada cervecera,Exportador,19/20,0,0,0,0,0,0
17/04/2019,cebada forrajera,Exportador,19/20,0,1000,0,1000,0,1000
17/04/2019,maíz,Exportador,19/20,89600,315400,280100,35300,3200,32100
17/04/2019,soja,Exportador,19/20,600,63600,63600,0,0,0
17/04/2019,soja,Industria,19/20,76100,302200,195600,106600,3000,103600
17/04/2019,trigo,Exportador,19/20,56300,789400,683600,105800,4000,101800
24/04/2019,cebada cervecera,Exportador,19/20,0,0,0,0,0,0
24/04/2019,cebada forrajera,Exportador,19/20,0,1000,0,1000,0,1000
24/04/2019,maíz,Exportador,19/20,76000,391400,350000,41400,3700,37700
24/04/2019,soja,Exportador,19/20,100,63700,63700,0,0,0
24/04/2019,soja,Industria,19/20,58600,360800,228400,132400,3000,129400
24/04/2019,trigo,Exportador,19/20,46200,835600,715900,119700,4000,115700
02/05/2019,cebada cervecera,Exportador,19/20,5500,5500,5500,0,0,0
02/05/2019,cebada forrajera,Exportador,19/20,0,1000,0,1000,0,1000
02/05/2019,maíz,Exportador,19/20,84400,475800,419700,56100,3700,52400
02/05/2019,soja,Exportador,19/20,400,64099.99999999999,64099.99999999999,0,0,0
02/05/2019,soja,Industria,19/20,33200,394000,229700,164300,3000,161300
02/05/2019,trigo,Exportador,19/20,94500,930100,767900,162200,4000,158200
08/05/2019,cebada cervecera,Exportador,19/20,1700,7200,7200,0,0,0
08/05/2019,cebada forrajera,Exportador,19/20,0,1000,0,1000,0,1000
08/05/2019,maíz,Exportador,19/20,302000,777800,694700,83100,4400,78700
08/05/2019,soja,Exportador,19/20,200,64099.99999999999,63900,200,0,200
08/05/2019,soja,Industria,19/20,60000,454000,245400,208600,3000,205600
08/05/2019,trigo,Exportador,19/20,90600,1020700,804200,216500,5100,211400
15/05/2019,cebada cervecera,Exportador,19/20,800,8000,8000,0,0,0
15/05/2019,cebada forrajera,Exportador,19/20,200,1200,0,1200,0,1200
15/05/2019,girasol,Industria,19/20,23700,55600,48400,7200,0,7200
15/05/2019,maíz,Exportador,19/20,544000,1321800,1217400,104400,7600,96800
15/05/2019,soja,Exportador,19/20,6800,70900,65200,5700,0,5700
15/05/2019,soja,Industria,19/20,48100,502100,258399.99999999997,243700,3000,240700
15/05/2019,trigo,Exportador,19/20,107500,1128200,850600,277600,7200,270400
22/05/2019,cebada cervecera,Exportador,19/20,0,8000,8000,0,0,0
22/05/2019,cebada forrajera,Exportador,19/20,200,1400,0,1400,0,1400
22/05/2019,girasol,Industria,19/20,16700,72300,48700,23600,0,23600
